t_id,rt_id,nbpartages,nbmentions
319242817,1280032105,5,0
8350912,2523152404,2,0
18936161,261466381,2,0
357412940,55663799,2,0
145556011,2591228407,3,0
563110956,2352145118,5,0
68440549,2166733603,2,0
133663801,2383152777,4,0
38395124,2303268079,3,0
819000242,262083808,2,0
338985020,2372248749,8,0
104105131,576006448,3,0
276934698,112140045,3,0
508585868,15720074,5,0
24744541,484912993,14,0
520380662,1608572484,4,0
8350912,1205947243,2,0
8350912,221061244,31,0
541752208,212151607,2,0
24744541,2441584945,2,0
8350912,2280577922,7,0
8460572,568002578,3,0
474791076,1044566642,2,0
79579327,2546072604,7,0
386035181,956367750,4,0
370382174,1119841398,4,1
95699146,35200436,2,0
275625008,20305387,3,0
19342897,300203029,2,0
24744541,231227445,4,0
8350912,223269625,2,0
1088557634,875696023,2,0
14231313,153515027,2,0
133663801,1379019084,2,0
2156498427,152681227,2,0
338985020,1882930656,3,0
133663801,515928099,2,0
24744541,1266436938,14,0
21313364,1255603832,2,0
444923081,438562087,2,0
133663801,1283256739,3,0
25049177,2566048726,2,0
604704562,116135875,3,0
19976004,218434822,6,0
133663801,607424941,3,0
74167992,833222528,2,0
2649991,172527558,2,0
25048816,1294048106,2,0
2649991,34555296,2,0
1114523520,271644820,2,0
38395124,849115849,2,0
590284484,2586306738,2,0
168521753,121658831,3,0
50939966,2485748058,2,0
24744541,509239757,4,0
38395124,2205839791,50,0
24744541,43452377,2,0
493170067,2274667874,3,0
24744541,2663808152,6,0
25048816,109567991,2,0
338985020,81167940,11,0
19012972,2331629905,2,0
15838516,463639623,2,0
21313364,2329253719,2,0
18936161,1658674922,2,0
38395124,440976272,7,0
482263573,2530784166,2,0
19240358,2766577577,2,0
2649991,256179421,2,0
21313364,2178022416,2,0
21313364,2285161082,3,0
24744541,1014126192,8,0
590284484,2438468202,7,0
556043749,2468970051,3,0
88657577,303590335,5,0
8460572,2703709807,2,0
278199679,738374418,2,0
68440549,2488474788,4,0
364513528,293619201,2,0
1994321,59527288,20,0
25048816,316319516,111,0
2823456542,2824136485,2,0
557529388,1230524840,3,0
21313364,1077432001,2,0
71748882,251476138,2,0
2190317246,477088995,2,0
38142665,520774183,4,0
87764401,982598773,2,0
24744541,1511654497,3,0
24744541,913400870,4,0
395119889,1549877912,3,0
20224969,153367507,2,0
338985020,1485977636,17,0
1084092644,1109101213,2,0
301480200,1320758875,7,0
24744541,2601481134,4,0
379756251,267123630,2,0
1860781968,780563401,3,0
18936161,2559293064,10,0
855417048,2294547002,2,0
2649991,305101159,2,0
43301934,2179821583,7,0
24744541,2722169836,4,0
1634105922,322000229,2,0
756779306,2470532772,2,0
1640054216,757724065,3,0
23786137,2748225077,2,0
38395124,68800712,2,0
127659284,857008494,4,0
280288703,1570340431,5,0
275625008,243726128,3,0
1568568853,802111646,2,0
1111796005,358917808,2,0
119693093,2494021200,2,0
20224969,95312133,2,0
21313364,2485498904,57,0
24744541,777283663,3,0
376812938,185982920,2,0
74167992,1090238707,5,0
1994321,2790196261,2,0
15838516,133754181,3,0
8350912,512495516,12,0
177217315,39538605,2,0
310147105,1068434431,2,0
8350912,583634304,2,0
194191469,2569196850,2,0
583829453,2197955503,4,0
21313364,528847909,2,0
18936161,899636906,3,0
8350912,861337568,6,0
1128067351,309178937,2,0
21313364,707527792,13,0
1702204111,95639457,3,0
1327735346,494037039,3,0
360628316,251078369,2,0
38142665,492344547,5,0
1283101652,2601531127,2,0
97471352,404105819,2,0
226018473,1457392165,4,0
68440549,1420592707,2,0
104105131,75191142,3,0
338985020,1006949928,19,0
2652613098,2161457542,3,0
338985020,1489898868,5,0
8350912,558559484,2,0
20224969,378191508,5,0
64028758,244170872,2,0
190226677,251142136,3,0
518347117,1452578348,3,0
222153850,184069308,2,0
22464771,17810192,2,0
25048816,2226877048,2,0
24744541,390747861,2,0
554485198,1606023864,4,0
8350912,158766862,7,0
48756757,36927527,3,0
338985020,462292950,27,0
24744541,541644487,3,0
338985020,244228854,2,0
24744541,804584972,4,0
24744541,2336470953,5,0
2361313322,215972662,7,0
61184147,2249927394,2,0
21313364,2461782973,2,0
18936161,1508417934,3,0
331556368,19683583,3,0
2649991,515994782,2,0
96519228,372658255,4,0
2706018258,8460572,17,65
493265079,17400044,3,0
25049056,878719854,2,0
425045213,70967390,3,0
92233525,80590796,2,0
1657892413,390288302,2,0
1994321,93293716,6,0
47399805,2345038668,5,0
338985020,2341785589,7,0
8350912,2809097092,2,0
2649991,232241531,2,0
15002138,722252460,4,0
19341180,167495274,2,0
8350912,527351645,3,0
114704955,200463792,4,0
38142665,1024288466,12,0
8350912,612989860,10,0
192538987,1452604796,3,0
962293452,1399581476,2,0
24744541,366226418,2,0
24744541,18215385,2,0
127044368,604523622,2,0
564856252,97860997,2,0
1698989802,1489690165,2,6
1693645183,498794298,3,0
1063274202,492904449,15,1
488488216,799079898,2,0
8350912,329591068,5,0
140776364,401601754,4,0
2228171570,242263905,4,0
2184489764,1630681262,3,0
38142665,479500071,4,0
21313364,256505796,4,0
